ISO Code,Location,population,New_cases,Percentage,RT
AFG,Afghanistan,41128772.0,228970.0,0.56,0
OWID_AFR,Africa,1426736614.0,13117678.0,0.92,0
ALB,Albania,2842318.0,334090.0,11.75,0
DZA,Algeria,44903228.0,271997.0,0.61,0
ASM,American Samoa,44295.0,8359.0,18.87,0
AND,Andorra,79843.0,48015.0,60.14,0
AGO,Angola,35588996.0,106002.0,0.3,0
AIA,Anguilla,15877.0,3904.0,24.59,0
ATG,Antigua and Barbuda,93772.0,9106.0,9.71,0
ARG,Argentina,45510324.0,10060763.0,22.11,0
ARM,Armenia,2780472.0,451107.0,16.22,0
ABW,Aruba,106459.0,44224.0,41.54,0
OWID_ASI,Asia,4721383370.0,300804655.0,6.37,0
AUS,Australia,26177410.0,11669087.0,44.58,0
AUT,Austria,8939617.0,6081287.0,68.03,0
AZE,Azerbaijan,10358078.0,834135.0,8.05,0
BHS,Bahamas,409989.0,38084.0,9.29,0
BHR,Bahrain,1472237.0,696614.0,47.32,0
BGD,Bangladesh,171186368.0,2046060.0,1.2,0
BRB,Barbados,281646.0,110128.0,39.1,0
BLR,Belarus,9534956.0,994037.0,10.43,0
BEL,Belgium,11655923.0,4829921.0,41.44,0
BLZ,Belize,405285.0,71373.0,17.61,0
BEN,Benin,13352864.0,28036.0,0.21,0
BMU,Bermuda,64207.0,18860.0,29.37,0
BTN,Bhutan,782457.0,62697.0,8.01,0
BOL,Bolivia,12224114.0,1209626.0,9.9,0
BES,Bonaire Sint Eustatius and Saba,27052.0,11922.0,44.07,0
BIH,Bosnia and Herzegovina,3233530.0,403355.0,12.47,0
BWA,Botswana,2630300.0,330397.0,12.56,0
BRA,Brazil,215313504.0,37519960.0,17.43,0
VGB,British Virgin Islands,31332.0,7392.0,23.59,0
BRN,Brunei,449002.0,314610.0,70.07,0
BGR,Bulgaria,6781955.0,1312102.0,19.35,0
BFA,Burkina Faso,22673764.0,22093.0,0.1,0
BDI,Burundi,12889583.0,54368.0,0.42,0
KHM,Cambodia,16767851.0,138954.0,0.83,0
CMR,Cameroon,27914542.0,125116.0,0.45,0
CAN,Canada,38454328.0,4711258.0,12.25,0
CPV,Cape Verde,593162.0,64474.0,10.87,0
CYM,Cayman Islands,68722.0,31472.0,45.8,0
CAF,Central African Republic,5579148.0,15367.0,0.28,0
TCD,Chad,17723312.0,7698.0,0.04,0
CHL,Chile,19603736.0,5315963.0,27.12,0
CHN,China,1425887360.0,99320286.0,6.97,0
COL,Colombia,51874028.0,6383595.0,12.31,0
COM,Comoros,836783.0,9109.0,1.09,0
COG,Congo,5970430.0,25206.0,0.42,0
COK,Cook Islands,17032.0,7174.0,42.12,0
CRI,Costa Rica,5180836.0,1230653.0,23.75,0
CIV,Cote d'Ivoire,28160548.0,88354.0,0.31,0
HRV,Croatia,4030361.0,1277094.0,31.69,0
CUB,Cuba,11212198.0,1115043.0,9.94,0
CUW,Curacao,191173.0,45883.0,24.0,0
CYP,Cyprus,896007.0,660854.0,73.76,0
CZE,Czechia,10493990.0,4684233.0,44.64,0
COD,Democratic Republic of Congo,99010216.0,99226.0,0.1,0
DNK,Denmark,5882259.0,3417017.0,58.09,0
DJI,Djibouti,1120851.0,15690.0,1.4,0
DMA,Dominica,72758.0,16027.0,22.03,0
DOM,Dominican Republic,11228821.0,661179.0,5.89,0
ECU,Ecuador,18001002.0,1064192.0,5.91,0
EGY,Egypt,110990096.0,516023.0,0.46,0
SLV,El Salvador,6336393.0,201833.0,3.19,0
GNQ,Equatorial Guinea,1674916.0,17130.0,1.02,0
ERI,Eritrea,3684041.0,10189.0,0.28,0
EST,Estonia,1326064.0,602909.0,45.47,0
SWZ,Eswatini,1201680.0,75166.0,6.26,0
ETH,Ethiopia,123379928.0,501087.0,0.41,0
OWID_EUR,Europe,744807803.0,250427740.0,33.62,0
OWID_EUN,European Union,450146793.0,184587038.0,41.01,0
FRO,Faeroe Islands,53117.0,34658.0,65.25,0
FLK,Falkland Islands,3801.0,1923.0,50.59,0
FJI,Fiji,929769.0,69047.0,7.43,0
FIN,Finland,5540745.0,1499712.0,27.07,0
FRA,France,67813000.0,38997490.0,57.51,0
GUF,French Guiana,304568.0,98041.0,32.19,0
PYF,French Polynesia,306292.0,78700.0,25.69,0
GAB,Gabon,2388997.0,49046.0,2.05,0
GMB,Gambia,2705995.0,12626.0,0.47,0
GEO,Georgia,3744385.0,1855289.0,49.55,0
DEU,Germany,83369840.0,38437756.0,46.11,0
GHA,Ghana,33475870.0,171768.0,0.51,0
GIB,Gibraltar,32677.0,20550.0,62.89,0
GRC,Greece,10384972.0,5464525.0,52.62,0
GRL,Greenland,56494.0,11971.0,21.19,0
GRD,Grenada,125459.0,19693.0,15.7,0
GLP,Guadeloupe,395762.0,203235.0,51.35,0
GUM,Guam,171783.0,52187.0,30.38,0
GTM,Guatemala,17843914.0,1250301.0,7.01,0
GGY,Guernsey,63329.0,35326.0,55.78,0
GIN,Guinea,13859349.0,38569.0,0.28,0
GNB,Guinea-Bissau,2105580.0,9614.0,0.46,0
GUY,Guyana,808727.0,73673.0,9.11,0
HTI,Haiti,11585003.0,34482.0,0.3,0
OWID_HIC,High income,1250514600.0,426588854.0,34.11,0
HND,Honduras,10432858.0,472743.0,4.53,0
HUN,Hungary,9967304.0,2212994.0,22.2,0
ISL,Iceland,372903.0,209328.0,56.13,0
IND,India,1417173120.0,45001764.0,3.18,0
IDN,Indonesia,275501344.0,6813429.0,2.47,0
IRN,Iran,88550568.0,7624407.0,8.61,0
IRQ,Iraq,44496124.0,2465545.0,5.54,0
IRL,Ireland,5023108.0,1725026.0,34.34,0
IMN,Isle of Man,84534.0,38008.0,44.96,0
ISR,Israel,9449000.0,4841772.0,51.24,0
ITA,Italy,59037472.0,26318717.0,44.58,0
JAM,Jamaica,2827382.0,156546.0,5.54,0
JPN,Japan,123951696.0,33803572.0,27.27,0
JEY,Jersey,110796.0,66391.0,59.92,0
JOR,Jordan,11285875.0,1746997.0,15.48,0
KAZ,Kazakhstan,19397998.0,1502857.0,7.75,0
KEN,Kenya,54027484.0,344092.0,0.64,0
KIR,Kiribati,131237.0,5085.0,3.87,0
OWID_KOS,Kosovo,1782115.0,274279.0,15.39,0
